year_month,year,month,monthly_avg_daily_price,monthly_min_daily_price,monthly_max_daily_price,monthly_avg_peak_price,monthly_avg_offpeak_price,monthly_avg_daily_volatility,monthly_price_range_avg,trading_days,month_start_date,mom_change_avg_price_pct,mom_change_peak_price_pct
2023-01,2023,1,69.69611111111111,0.0,220.0,,69.69611111111111,27.356445923893922,92.734,30,2023-01-01,,
2023-02,2023,2,134.00239197530865,17.69,189.74,,134.00239197530865,18.53969437687087,60.3825925925926,27,2023-02-01,92.2666700322476,
2023-03,2023,3,89.96323574100047,0.0,190.0,,89.96323574100047,25.047073221448635,84.66709677419354,31,2023-03-01,-32.86445531690424,
2023-04,2023,4,76.95929166666666,0.0,166.06,,76.95929166666666,30.572436719535045,92.02866666666667,30,2023-04-01,-14.454731388021102,
2023-05,2023,5,75.79120833333333,0.0,148.16,,75.79120833333333,23.10848669600034,74.75266666666667,30,2023-05-01,-1.517793768675313,
2023-06,2023,6,95.58669444444445,45.0,156.13,,95.58669444444445,15.745341950619956,50.67633333333333,30,2023-06-01,26.11844638239522,
2023-07,2023,7,93.79987903225806,0.0,151.65,,93.79987903225806,18.072196356855315,57.101290322580645,31,2023-07-01,-1.869313948527529,
2023-08,2023,8,97.85916666666667,0.0,180.34,,97.85916666666667,19.712429232237334,61.486451612903224,31,2023-08-01,4.3276043383942975,
2023-09,2023,9,104.14769444444444,4.08,170.0,,104.14769444444444,21.80448915431583,71.02866666666667,30,2023-09-01,6.426099865736745,
2023-10,2023,10,89.84939677419354,0.0,215.02,,89.84939677419354,23.157436111294576,75.02354838709678,31,2023-10-01,-13.728866247613436,
2023-11,2023,11,63.25809722222222,0.0,161.99,,63.25809722222222,18.61701539605902,62.43333333333333,30,2023-11-01,-29.595412441999656,
2023-12,2023,12,72.20420698924731,0.0,174.0,,72.20420698924731,17.72151689788975,57.096774193548384,31,2023-12-01,14.142236582927726,
2024-01,2024,1,74.07954301075269,0.43,168.35,,74.07954301075269,17.430249301982983,58.96612903225807,31,2024-01-01,2.5972669733560716,
2024-02,2024,2,39.85610632183908,0.0,181.26,,39.85610632183908,13.103271548453376,48.62034482758621,29,2024-02-01,-46.19822868500425,
2024-03,2024,3,19.259022323515662,0.0,173.82,,19.259022323515662,15.337807385659591,53.26032258064516,31,2024-03-01,-51.678615648004936,
2024-04,2024,4,13.226180555555555,-0.63,104.06,,13.226180555555555,11.66226929475498,39.993,30,2024-04-01,-31.324756088962435,
2024-05,2024,5,30.736102150537633,-0.66,120.0,,30.736102150537633,20.97595734604792,64.41129032258064,31,2024-05-01,132.38834538386195,
2024-06,2024,6,58.11048611111111,-2.0,175.55,,58.11048611111111,25.452534255950763,78.85333333333332,30,2024-06-01,89.06263984450821,
2024-07,2024,7,74.11614247311827,-1.01,142.48,,74.11614247311827,26.150313864490503,79.28580645161291,31,2024-07-01,27.543490741762653,
2024-08,2024,8,91.11245967741935,-0.95,165.01,,91.11245967741935,27.830179139332284,83.37741935483871,31,2024-08-01,22.93200460407878,
2024-09,2024,9,73.62676388888889,0.0,176.21,,73.62676388888889,31.123813105770616,96.95266666666666,30,2024-09-01,-19.19133327147351,
2024-10,2024,10,69.4076435483871,-0.01,181.0,,69.4076435483871,26.53488453294573,90.99903225806453,31,2024-10-01,-5.730416655102378,
2024-11,2024,11,104.59656944444444,3.32,193.0,,104.59656944444444,22.056529796634667,72.01700000000001,30,2024-11-01,50.69892031635624,
2024-12,2024,12,111.53599462365591,0.44,181.0,,111.53599462365591,22.459839026555905,67.31967741935483,31,2024-12-01,6.634467283267154,
2025-01,2025,1,96.73145161290323,0.0,225.0,,96.73145161290323,24.92022954800856,81.86322580645162,31,2025-01-01,-13.273332129870797,
2025-02,2025,2,108.21598214285714,3.52,240.0,,108.21598214285714,34.90705114966691,119.97678571428571,28,2025-02-01,11.872591942393607,
2025-03,2025,3,53.07251509661835,-4.0,197.25,,53.07251509661835,28.813521697512524,99.48,30,2025-03-01,-50.95686048798529,
2025-04,2025,4,25.906430555555556,-5.0,170.01,,25.906430555555556,25.05728303583175,82.93433333333333,30,2025-04-01,-51.18672912261086,
2025-05,2025,5,25.793817204301074,-1.0,134.99,,25.793817204301074,16.325413064384772,59.34451612903225,31,2025-05-01,-0.4346926567632914,
2025-06,2025,6,74.17316666666667,-1.21,210.0,,74.17316666666667,41.841226468576316,121.13066666666667,30,2025-06-01,187.56180630100155,
2025-07,2025,7,70.10338709677418,-1.01,175.49,,70.10338709677418,34.143812854929216,99.15806451612903,31,2025-07-01,-5.486862369220436,
2025-08,2025,8,68.67584677419354,-2.1,170.0,,68.67584677419354,37.82275111066194,111.04806451612905,31,2025-08-01,-2.036335734548733,
2025-09,2025,9,61.18973611111111,-0.99,215.0,,61.18973611111111,38.71855631797494,121.64066666666666,30,2025-09-01,-10.900645590431225,
2025-10,2025,10,76.4997315860215,-2.64,230.0,59.90685483870968,93.02125258478081,33.59335799181128,114.85032258064517,31,2025-10-01,25.02052868329061,
2025-11,2025,11,59.08551736111111,0.0,170.01,50.51225,67.65878472222222,28.809026004572157,98.37266666666666,30,2025-11-01,-22.76375859610522,-15.68201980224676
2025-12,2025,12,77.24132291666666,0.5,165.5,77.10922222222221,77.37342361111111,18.08451516057931,64.49266666666666,30,2025-12-01,30.728013168765678,52.65449910115312
